Días,E,F,M,A,M,J,J,A,S,O,N,D
1,0,0,35,0,0,0,0,0,23.7,0,0,0
2,6.5,0, ,0,6.3,0,0,0,0,0,0,3.5
3,14.5,2.3,0,55.3,34,0,0,0,0,0,0,0
4,19,2.4,0,26.3,19,0,0,31.5,0,0,0,11
5,0,10.5,0,0,0.8,0.8,0,1.6,0,0,0,0
6,0,0,4.3,1.8,0,36.7,0,21,0,43,0,0
7,0,0,12,33.7,0,0.2,0,0.2,0,3.5,0,0
8,2.6,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0.4,0,0,0.5,0,0,0,0,0,0
10,0,0,25.5,101,1.3,0,0,9.2,0,9.7,0,0
11,0,0,24.5,66,0,0,0,0,0,0,0.6,0
12,0,0,0.3,1,0,0,14,0,0,6.5,0,18
13,0,0,0,0.3,0,0,0,0,0,0,71.7,3.5
14,0,0,0,0,0,0,3.3,0.5,0,0,0,0
15,0,0,0,0,2,0,4.7,1.7,0,0,0,0
16,0,0,0,0,0,20.2,10,10,0,10,0,0
17,0,0,0,0,0,40.8,5,0,0,0,0,0
18,0,0,0,0,0,0,0,6,0,0,0,0
19,0,0,9.8,0,0,0,5.1,0,3,21,0,6
20,10.6,0,0,0,0,0,0,0,20,40.4,0,0
21,0,7.7,0,2,0,28.4,0,0,0,0,16.4,0
22,0,16.5,21.5,4.8,0,2,0,0,0.3,0,16.3,0
23,0,0,90,0.3,0,0.9,0,0,0,0,0,0
24,1.5,0,51.9,12.8,0,0.3,0,0,0,0,0,0
25,23.7,10.5,0,0.2,0,0.5,0,0,0,0,0,3
26,34.3,16,0,0,11.5,0,0,0,0,20,0,0
27,0,0,0,0,33,0,0,0,0,0,4.6,26.5
28,0,15,0,0,27.3,0.5,0,7.7,0,0,0,0
29,0,0,0,0,32,0,1.3,0,3.7,27.5,0,0
30,0,0,75,14.5,17.5,0,0,0,10.5,0,0,0
31,0,0,9.5,0,0,0,0,0,0,16.5,0,0
